stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
176,,Vasil Shanto,"Në Rrugën ?Sulejman Delvina?, pas kryqëzimit me Blv. ?Bajram Curri?",41.3206867531,19.8055538865,,,0,,,0,,
177,,Komuna Parisit,Pas kryqëzimit të Rrugës ?Sulejman Delvina? me Rrugën ?Medar Shtylla?,41.318773735,19.8083590234,,,0,,,0,,
178,,Posta 8,"Në Rrugën ?Sulejman Delvina?, para Sheshit ?Uillson?",41.318133399,19.8134190571,,,0,,,0,,
179,,Kristaq Dollaku,Në afërsi të kryqëzimit të Rrugës ?Teodor Keko? me Rrugën ?Feizi Himzo,41.3262536605524,19.7872437773139,,,0,,,0,,
180,,Kristaq Dollaku,Në afërsi të kryqëzimit të Rrugës ?Teodor Keko? me Rrugën ?Feizi Himzo?,41.326199918,19.7867752456,,,0,,,0,,
181,,Terminal A,,41.3444318548685,19.7762088221776,,,0,,,0,,
182,,Selvia,"Në Rrugën e ?Dibrës?, tek ?Selvija?",41.3334424022452,19.8230692395244,,,0,,,0,,
183,,Medreseja,"Në Rrugën e ?Dibrës?, tek ?Medreseja?.",41.3382609624,19.8261673965,,,0,,,0,,
184,,Rruga Ura,"Në Rrugën e Dibrës, tek Rruga Ura",41.3459602561,19.8408316861,,,0,,,0,,
185,,Kinostudio,"Në Rrugën e ?Dibrës?, tek sheshi pranë karburantit përballë ?Ish Kinostudios Shqipëria e Re?. (Stacioni fundor).",41.3469360324,19.8463656541,,,0,,,0,,
186,,Aleksandër Moisiu,"rrugën ""Aleksandër Moisiu"", pranë Bar Kafe ""MOLLA"" (Stacioni fundor)",41.3454647579,19.8505234979,,,0,,,0,,
187,,Rruga Ura,"Në Rrugën e ?Dibrës?, tek ?Rruga ?Ura?.",41.3457472997,19.8406291099,,,0,,,0,,
188,,Ura Gjirozës,"Në Rrugën ?Myslym Keta?, tek ?Ura?",41.3500709915,19.8438878896,,,0,,,0,,
189,,Shefqet Kuka,"Në Rrugën ?Myslym Keta?, tek ?Ish Antibiotiku?",41.3521747133,19.8452631036,,,0,,,0,,
190,,Shefqet Kuka ,"Në Rrugën ?Myslym Keta?, tek ?Ish Antibiotiku?",41.3523004489,19.8452056988,,,0,,,0,,
191,,Elez Isufi,"Në Rrugën ?Myslym Keta?, tek ?Kafe e Rremës?.",41.3573175571,19.8476535425,,,0,,,0,,
192,,Varrezat Tufinë,"Rrugën ?Myslym Keta?, tek sheshi poshtë ?Varrezave Tufinë?",41.3615010142,19.8519515551,,,0,,,0,,
193,,Rruga Arbërit,"Te Ish repartet ""Xhenios""",41.3698672884,19.8550060457,,,0,,,0,,
194,,Profarma,,41.355008311,19.8465945805,,,0,,,0,,
195,,Instituti Ndërtimit,,41.3596631883,19.8504193921,,,0,,,0,,
196,,Dispanseria,Përpara kryqëzimit të Rrugës ?Ferrit Xhajko? me Rrugën ?Siri Kodra?.,41.3379699425814,19.8213898202416,,,0,,,0,,
197,,Tregu 5 Maji,"Kryqëzimi i Rrugës ""Ferit Xhajko"" me  Rrugën ""5 Maji""",41.3399354127,19.8257101422,,,0,,,0,,
198,,Stacioni i Trenit,Pas kryqëzimit të Blv. ?Zogu I? me Rrugën ?Reshit Petrela? (Fillimi i linjës).,41.3357825166,19.8147661982,,,0,,,0,,
199,,Karl Topia,Përpara kryqëzimit tek Sheshi ?Karl Topia?,41.3319033149,19.8043801443,,,0,,,0,,
200,,Karl Topia,Pas rrethrotullimit tek Sheshi ?Karl Topia? (karburanti),41.332135418,19.8042251255,,,0,,,0,,
201,,Inxhinieria,Në afërsi të kryqëzimit të Rrugës ?Muhamet Gjollesha? me Rrugën ?Sandër Prosi?,41.328611627996,19.8026798350085,,,0,,,0,,
202,,Sabaudin Gabrani,Pas kryqëzimit të Rrugës së ?Kavajës? me Rrugën ?Muhamet Gjollesha?,41.3250042431,19.8036742349,,,0,,,0,,
203,,Sabaudin Gabrani,Përpara kryqëzimit të Rrugës ?Muhamet Gjollesha? me Rrugën e ?Kavajës?,41.3250106985,19.8039334372,,,0,,,0,,
204,,Gjykata,"Blv. ""Gjergj Fishta"", në kryqëzimin me Rrugën ""Nikolla Lena""",41.3220485695,19.8068524006,,,0,,,0,,
205,,Vasil Shanto A,"Blv. ?Bajram Curri?, pas Urës ?Vasil Shanto?",41.3214707928,19.8066670146,,,0,,,0,,
206,,Drejtoria Policisë A,"Blv. Gjergj Fishta, në kryqëzimin me Rrugën Sami Frashëri",41.3229619725,19.8127458138,,,0,,,0,,
207,,Kinema Agimi,"Blv. ?Bajram Curri?, pranë ish ? Kinema ?Agimi?",41.3227465406,19.8147101519,,,0,,,0,,
208,,Shallvaret,"Blv. ?Gjergj Fishta?, në afërsi të kryqëzimit me Rrugën ?Ibrahim Rugova?",41.3237895163,19.817898275,,,0,,,0,,
209,,Vëllezërit Frashëri,"Kryqëzimi i  Blv. ?Bajram Curri? me Blv. ?Dëshmorët e Kombit?, pranë Lulishtes ?3 Vëllezërit Frashëri?.",41.3233854262,19.8187805845,,,0,,,0,,
210,,Xhamia Namazgjasë,"Blv. ?Zhan Dark?, në afërsi të kryqëzimit me Rrugën ?Xhorxh W. Bush?",41.3251278746,19.8244318832,,,0,,,0,,
211,,Sheshi Ali Demi,Pas kryqëzimit të Blv. ?Bajram Curri? me Rrugën ?Ali Demi?,41.3279786355,19.8293515599,,,0,,,0,,
212,,Brryli,"Pas kryqëzimit të Blv. ?Zhan Dark? me Rrugën ?Arkitekt Kasemi?, tek ?Brryli?",41.3311777192703,19.8343396237542,,,0,,,0,,
213,,Odhise Paskali,Pas kryqëzimit të Rrugës ?Bardhyl? me Rrugën  ?Hoxha Tahsim?,41.3343036652,19.8331578455,,,0,,,0,,
214,,Odhise Paskali,Kryqëzimin e Rrugës ?Bardhyl? me Rrugën ?Hoxha Tahsim?,41.3351603507861,19.8323637421213,,,0,,,0,,
215,,Çajupi,"në afërsi të kryqëzimit të rrugës ""Bardhyl"" me Rrugën ""Kongresi i Manastirit""",41.3365251802201,19.8314430936825,,,0,,,0,,
216,,Çajupi,"kryqëzimi i rrugës ""Bardhyl"" me rrugën ""Kongresi i Manastirit""",41.3377640705,19.8308144933,,,0,,,0,,
217,,Farmacia 10,Në afërsi të kryqëzimit të Rrugës ?Bardhyl? me Rrugën e ?Dibrës?,41.3396654587322,19.8292749628461,,,0,,,0,,
218,,Farmacia 10,Kryqëzimi i Rrugës ?Bardhyl? me Rrugën ?Kongresi i Manastirit?,41.3394810832,19.8296477175,,,0,,,0,,
219,,Piramida,"Blv. ?Dëshmorët e Kombit?, (ne segmentin e kufizuar nga blv.""Bajram Curri"" dhe ""Ismail Qemali"" sipas sensit jug-veri / piramida",41.3228095933,19.8200384801,,,0,,,0,,
220,,Libri Universitar,"në rrugën ""Abdyl Frashëri"", përballë Librit Universitar",41.3192503393,19.818127463,,,0,,,0,,
221,,Sheshi Wilson,"Në Rrugën ?Sami Frashëri?, tek Drejtoria e Përgjithshme e Rrugëve",41.3176459748,19.8146893603,,,0,,,0,,
222,,Rruga e Kosovarëve,"Ne afërsi të kryqëzimit të Rrugës ?Kristo Luarasi?, me Rrugën ?E Kosovarëve?",41.3125529327,19.8147975876,,,0,,,0,,
223,,Rruga e Kosovarëve,"Ne afërsi të kryqëzimit të Rrugës ?Kristo Luarasi?, me Rrugën ?Anton Ashta''",41.3121692992,19.8140683573,,,0,,,0,,
224,,Kopshti Zoologjik,"Në Rrugën ?Liqeni i Thatë?, në afërsi të Kopështit Zoologjik.",41.3090332693,19.8109657027,,,0,,,0,,
